iter	RMSE
0	486179.1764
1	472110.9645
2	461264.1729
3	451069.2595
4	439298.6157
5	428880.2671
6	421334.7996
7	413552.846
8	408177.5054
9	403767.605
10	399107.0262
11	394289.2673
12	392194.9827
13	388805.7253
14	386315.5687
15	379589.7235
16	377427.8827
17	374761.05
18	372942.7675
19	371688.5052
20	370202.3472
21	367994.0119
22	362703.3971
23	360944.9352
24	358094.6946
25	355704.3044
26	354031.8981
27	352501.4079
28	351706.7055
29	346325.2669
30	345485.7395
31	344002.7899
32	343299.3402
33	340471.8513
34	339788.6316
35	339166.5371
36	334259.7318
37	333480.6785
38	332958.5283
39	332405.0359
40	330521.9618
41	326870.1793
42	326383.5538
43	324468.3839
44	323923.072
45	323504.6826
46	323023.1578
47	322459.1478
48	322057.132
49	320425.4514
50	320117.3967
51	319858.0221
52	319311.2239
53	318450.6791
54	317160.6032
55	316605.2762
56	315579.7337
57	314034.987
58	313689.2668
59	313168.2174
60	312620.1694
61	312198.7716
62	311010.4924
63	309623.2866
64	309309.0677
65	309007.1764
66	308516.0432
67	306664.6058
68	301892.3814
69	301637.8173
70	301404.5921
71	301145.8911
72	300671.1942
73	300369.2429
74	299211.1154
75	297613.3811
76	297224.7709
77	297012.9131
78	296694.432
79	296503.61
80	294644.9598
81	293984.3323
82	292256.4999
83	291165.7174
84	288376.1855
85	288144.5005
86	287980.3659
87	287831.0414
88	287531.3992
89	287398.9944
90	287149.5227
91	287025.9687
92	286726.0056
93	286077.2399
94	285606.9159
95	285039.621
96	284932.3141
97	284820.8546
98	284725.1573
99	283814.9008
100	282752.7492
101	281748.852
102	280765.1389
103	280251.2004
104	278869.5632
105	278520.5505
106	278437.1721
107	278353.7948
108	277849.8291
109	276959.0301
110	276259.6753
111	276085.9984
112	276014.2198
113	275525.2583
114	275452.0862
115	274795.1688
116	272988.2967
117	272925.858
118	272289.2926
119	272230.4676
120	272096.9901
121	271338.119
122	270923.4504
123	270774.2482
124	269097.2337
125	268581.2218
126	268162.1673
127	267640.995
128	267365.1923
129	266080.8029
130	266032.3158
131	264461.712
132	264048.4527
133	264004.7308
134	263554.1263
135	263252.6658
136	262754.7604
137	260907.3904
138	260625.3291
139	260140.6258
140	259722.2136
141	258866.5321
142	258575.0578
143	257049.4358
144	255744.2569
145	254677.5461
146	254333.7323
147	254168.9323
148	253666.6372
149	253355.2788
150	253323.3875
151	252744.3939
152	252341.7874
153	252024.3831
154	251004.2083
155	250850.4315
156	250536.8638
157	250351.4364
158	250024.4901
159	249100.5394
160	249010.6725
161	248730.6003
162	248503.6917
163	247113.7317
164	246821.307
165	245954.278
166	244785.2112
167	244731.6879
168	244682.9755
169	244424.1651
170	244198.358
171	243993.0929
172	243847.2621
173	243039.54
174	242309.0623
175	241989.2496
176	241299.8853
177	241068.2118
178	240671.0028
179	240239.7817
180	239142.8324
181	239120.6468
182	238197.4042
183	238176.9942
184	237968.6173
185	237751.4507
186	237415.4001
187	236828.4564
188	236478.456
189	236226.7694
190	236033.4466
191	235763.4099
192	234718.9638
193	234534.464
194	234287.8064
195	234077.362
196	233172.0939
197	233099.7642
198	232594.4237
199	232400.5508
200	232190.6028
201	230982.3795
202	230764.7973
203	230565.192
204	229636.9111
205	228532.0991
206	228245.2923
207	227700.4661
208	227527.8128
209	227271.2915
210	227081.6388
211	226942.4322
212	226178.1401
213	226032.2482
214	225888.3274
215	225632.6234
216	225489.8341
217	225294.591
218	225069.3665
219	224561.1928
220	224323.3158
221	223835.3997
222	223615.807
223	223167.4785
224	223070.9252
225	222915.322
226	222728.4976
227	222527.9974
228	222330.4432
229	221590.8972
230	221182.5957
231	221110.6404
232	220915.0889
233	220758.222
234	220640.9025
235	220446.3423
236	220347.8444
237	219491.6917
238	219322.867
239	219145.1489
240	218357.8828
241	217991.2318
242	217760.2098
243	217576.3481
244	217376.6893
245	217179.7475
246	217031.2745
247	216705.3139
248	216396.7148
249	216256.4109
