iter	Passed	Remaining
0	3	749
1	6	755
2	8	734
3	11	686
4	14	705
5	17	691
6	19	679
7	22	670
8	25	675
9	27	665
10	32	697
11	35	701
12	37	687
13	40	678
14	42	667
15	45	659
16	47	655
17	50	653
18	54	657
19	56	649
20	58	639
21	61	635
22	64	637
23	67	633
24	69	627
25	72	621
26	74	614
27	78	623
28	82	625
29	84	623
30	87	619
31	90	613
32	92	609
33	95	608
34	98	602
35	100	599
36	103	594
37	105	589
38	107	581
39	110	578
40	112	574
41	115	571
42	117	566
43	119	561
44	122	556
45	126	558
46	128	555
47	131	552
48	133	547
49	135	543
50	137	538
51	140	536
52	143	533
53	146	530
54	148	526
55	150	521
56	152	516
57	154	511
58	157	509
59	159	506
60	162	502
61	164	499
62	166	494
63	168	490
64	170	485
65	173	484
66	176	481
67	178	478
68	180	474
69	182	469
70	184	464
71	186	460
72	189	458
73	191	455
74	194	454
75	196	450
76	198	446
77	200	442
78	203	441
79	206	439
80	209	436
81	215	441
82	217	437
83	220	434
84	222	431
85	224	428
86	226	424
87	228	421
88	230	417
89	232	412
90	234	409
91	237	407
92	239	404
93	241	401
94	244	398
95	246	394
96	247	391
97	250	388
98	253	386
99	255	383
100	257	380
101	260	377
102	262	374
103	264	371
104	267	368
105	269	366
106	272	363
107	274	360
108	276	357
109	278	354
110	280	351
111	284	350
112	286	346
113	288	344
114	290	341
115	292	337
116	294	335
117	297	332
118	299	330
119	301	327
120	304	324
121	306	321
122	308	318
123	310	315
124	313	313
125	316	311
126	318	308
127	320	305
128	322	302
129	324	299
130	326	296
131	331	296
132	334	293
133	335	290
134	338	287
135	340	285
136	342	282
137	345	280
138	348	278
139	351	275
140	353	273
141	355	270
142	357	267
143	360	265
144	363	263
145	365	260
146	368	257
147	370	255
148	372	252
149	374	249
150	377	247
151	380	245
152	382	242
153	384	239
154	386	237
155	388	234
156	391	231
157	394	229
158	396	227
159	399	224
160	401	221
161	403	219
162	405	216
163	407	213
164	410	211
165	413	208
166	415	206
167	417	203
168	419	200
169	421	198
170	423	195
171	426	193
172	428	190
173	431	188
174	433	185
175	435	183
176	437	180
177	440	178
178	442	175
179	445	173
180	447	170
181	449	167
182	451	165
183	453	162
184	456	160
185	459	158
186	462	155
187	464	153
188	466	150
189	468	147
190	471	145
191	474	143
192	476	140
193	478	138
194	480	135
195	482	133
196	484	130
197	487	128
198	490	125
199	492	123
200	495	120
201	497	118
202	499	115
203	501	113
204	504	110
205	507	108
206	509	105
207	511	103
208	513	100
209	515	98
210	517	95
211	520	93
212	522	90
213	524	88
214	526	85
215	528	83
216	530	80
217	533	78
218	535	75
219	538	73
220	540	70
221	542	68
222	544	65
223	546	63
224	548	60
225	551	58
226	553	56
227	555	53
228	557	51
229	559	48
230	561	46
231	563	43
232	566	41
233	568	38
234	571	36
235	573	33
236	575	31
237	577	29
238	579	26
239	581	24
240	583	21
241	586	19
242	588	16
243	590	14
244	592	12
245	594	9
246	596	7
247	599	4
248	601	2
249	603	0
